"instance";"dataset";"ts";"model";"preprocess";"augment";"window_size";"test_size";"strategy";"true";"pred";"mse";"smape";"r2"
"knn";"gdp";"japan";"knn";"diff";"none";6;4;"sa";4232173,916087;5772693,359673;765691998010,964;13,9177785682535;-4,92143929866457
"knn";"gdp";"japan";"knn";"diff";"none";6;5;"sa";4166936,088246;5806411,03370633;1150129217767,2;17,7096480369939;-5,44891047979266
"arima";"gdp";"uk";"arima";"none";"none";0;1;"ro";2851407,164908;3007372,85942467;24325297866,0671;5,3241696690749;-Inf
"arima";"gdp";"uk";"arima";"none";"none";0;2;"ro";2697806,592294;2821553,10765854;19819248965,4673;4,90412960225948;-2,36017205059953
"arima";"gdp";"uk";"arima";"none";"none";0;3;"ro";3141506,156619;2680279,68579269;84122785107,2751;8,55103472734218;-1,48540937325865
"arima";"gdp";"uk";"arima";"none";"none";0;4;"ro";3089072,7224;3474581,90744965;100246421769,868;9,34997219109954;-2,10274446370365
"arima";"gdp";"uk";"arima";"none";"none";0;5;"ro";3263527,803496;3058906,71486213;88571095398,6359;8,77454925402983;-1,10452433975928
"arima";"gdp";"uk";"arima";"none";"none";0;1;"sa";2851407,164908;3007372,85942467;24325297866,0671;5,3241696690749;-Inf
"arima";"gdp";"uk";"arima";"none";"none";0;2;"sa";2697806,592294;3065810,92826182;79876244578,5901;9,04703898278439;-12,5422853311689
"arima";"gdp";"uk";"arima";"none";"none";0;3;"sa";3141506,156619;3124248,99709896;53350099570,6267;6,21497283261612;-0,57622976186568
"arima";"gdp";"uk";"arima";"none";"none";0;4;"sa";3089072,7224;3182687,06593611;42203486006,8942;5,40754602285324;-0,3062474474899
"arima";"gdp";"uk";"arima";"none";"none";0;5;"sa";3263527,803496;3241125,13477326;33863164718,6956;4,4638007785452;0,195382488485402
"knn";"gdp";"uk";"knn";"diff";"none";6;1;"ro";2851407,164908;3004149,692373;23330279696,3964;5,21701116350958;-Inf
"knn";"gdp";"uk";"knn";"diff";"none";6;2;"ro";2697806,592294;2978864,28289375;51161852570,8305;7,55960626698615;-7,67402328740793
"knn";"gdp";"uk";"knn";"diff";"none";6;3;"ro";3141506,156619;2655770,66751925;112754223504,211;10,6255266537629;-2,33132579496149
"knn";"gdp";"uk";"knn";"diff";"none";6;4;"ro";3089072,7224;3205764,55916875;87969913820,2747;8,89603024206983;-1,72277212751735
"knn";"gdp";"uk";"knn";"diff";"none";6;5;"ro";3263527,803496;2944672,11117125;90709721561,7989;9,1712405894387;-1,15533991106689
"knn";"gdp";"uk";"knn";"diff";"none";6;1;"sa";2851407,164908;3004149,692373;23330279696,3964;5,21701116350958;-Inf
"knn";"gdp";"uk";"knn";"diff";"none";6;2;"sa";2697806,592294;3203940,5296365;139750921113,109;11,1845073467532;-22,6934880826216
"knn";"gdp";"uk";"knn";"diff";"none";6;3;"sa";3141506,156619;3295237,285412;101045034062,063;9,04856293483034;-1,98537755804011
"knn";"gdp";"uk";"knn";"diff";"none";6;4;"sa";3089072,7224;3349002,57799275;92674658003,664;8,80511446134603;-1,86838948433099
"knn";"gdp";"uk";"knn";"diff";"none";6;5;"sa";3263527,803496;3478118,045987;83349520837,4004;8,31731325578086;-0,980455300006189
